instrument_id,timestamp,open,high,low,close,volume
WLD-USD-PERP.HYPERLIQUID,1771149480000,0.42414,0.42415,0.42414,0.42415,117.9
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.56,1249.2
FARTCOIN-USD-PERP.HYPERLIQUID,1771149480000,0.21174,0.21177,0.21171,0.21177,275.2
UNI-USD-PERP.HYPERLIQUID,1771149480000,3.5905,3.5914,3.5905,3.5914,23.7
APT-USD-PERP.HYPERLIQUID,1771149480000,0.9725,0.9727,0.9725,0.9727,1639.68
ETC-USD-PERP.HYPERLIQUID,1771149480000,9.0401,9.0441,9.0401,9.0441,23.87
HYPE-USD-PERP.HYPERLIQUID,1771149480000,31.131,31.145,31.121,31.139,81.32
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.56,1253.92
IP-USD-PERP.HYPERLIQUID,1771149480000,1.1766,1.1768,1.1762,1.1762,253.2
PAXG-USD-PERP.HYPERLIQUID,1771149480000,5038.5,5039.0,5038.5,5039.0,0.004
XRP-USD-PERP.HYPERLIQUID,1771149480000,1.5888,1.592,1.588,1.5902,34323.0
VVV-USD-PERP.HYPERLIQUID,1771149480000,3.9262,3.9334,3.9146,3.9271,4270.49
WLD-USD-PERP.HYPERLIQUID,1771149480000,0.42414,0.42415,0.42414,0.42415,235.8
XRP-USD-PERP.HYPERLIQUID,1771149480000,1.5888,1.592,1.588,1.5902,37668.0
AVAX-USD-PERP.HYPERLIQUID,1771149480000,9.5889,9.591,9.5874,9.5874,77.0
BIGTIME-USD-PERP.HYPERLIQUID,1771149480000,0.016104,0.016104,0.016104,0.016104,1172.0
GOAT-USD-PERP.HYPERLIQUID,1771149480000,0.024912,0.024912,0.024912,0.024912,1385.0
XRP-USD-PERP.HYPERLIQUID,1771149480000,1.5888,1.592,1.588,1.5902,40706.0
BRETT-USD-PERP.HYPERLIQUID,1771149480000,0.008389,0.00839,0.008389,0.00839,4057.0
HYPE-USD-PERP.HYPERLIQUID,1771149480000,31.131,31.145,31.121,31.13,81.69
MNT-USD-PERP.HYPERLIQUID,1771149480000,0.67266,0.67305,0.67252,0.67271,4434.8
VVV-USD-PERP.HYPERLIQUID,1771149480000,3.9262,3.9334,3.9146,3.9272,4279.56
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.95,1268.03
DASH-USD-PERP.HYPERLIQUID,1771149480000,40.081,40.109,40.081,40.109,15.28
TRX-USD-PERP.HYPERLIQUID,1771149480000,0.281,0.281,0.281,0.281,1501.0
WIF-USD-PERP.HYPERLIQUID,1771149480000,0.24458,0.24458,0.24456,0.24456,1694.0
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.58,1280.33
HYPE-USD-PERP.HYPERLIQUID,1771149480000,31.131,31.145,31.121,31.13,82.06
